"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"ACB","BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK","30314.7936","31490.4942","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","1.80","Y","31490.4942 30314.7936","103.85411804993062 1.3010632720874966","Yes"
"ACM","BLK 98A ALJUNIED CRESCENT","33758.4143","33695.5198","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","5","2.10","N","33695.5198 33758.4143","103.88506094761496 1.3210042901059609","No"
"AH1","BLK 101 JALAN DUSUN","29257.7203","34500.3599","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","34500.3599 29257.7203","103.84461988914568 1.328283495109407","No"
"AK19","BLOCK 253 ANG MO KIO STREET 21","28185.4359","39012.6664","SURFACE CAR PARK","COUPON PARKING","7AM-7PM","NO","NO","0","0.00","N","39012.6664 28185.4359","103.83498485034055 1.3690912161435604","No"
"AK31","BLK 302/348 ANG MO KIO ST 31","29482.0290","38684.1754","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","38684.1754 29482.0290","103.84663563161574 1.3661204243173293","No"
"AK52","BLOCK 513 ANG MO KIO ST 53","29889.3457","39382.8134","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES","0","0.00","N","39382.8134 29889.3457","103.85029569742481 1.3724386334422465","No"
"AK6","BLOCK 728 ANG MO KIO AVE 6","29283.7324","39647.8906","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","39647.8906 29283.7324","103.8448538415614 1.3748359294533554","No"
"AK83","BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2","31397.2241","39851.6191","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","39851.6191 31397.2241","103.86384511310682 1.3766782086821643","No"
"AK9","ANG MO KIO AVENUE 9","29674.8184","40616.8750","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","40616.8750 29674.8184","103.8483680866534 1.3835990576551445","No"
"AM14","BLK 227 ANG MO KIO ST 23","28777.0707","38973.9528","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","6","2.15","N","38973.9528 28777.0707","103.84030110265202 1.368741094555012","No"
"AM16","BLK 256A ANG MO KIO STREET 21","28267.0582","39151.8344","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","39151.8344 28267.0582","103.83571828515677 1.3703498012136122","No"
"AM18","BLK 308C ANG MO KIO AVE 1","29257.6457","38619.9953","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","3","2.15","N","38619.9953 29257.6457","103.84461939021914 1.3655400127862634","No"
"AM19","BLK 260 ANG MO KIO ST 21","28134.9305","38989.9965","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","6","2.15","N","38989.9965 28134.9305","103.83453102382205 1.3688861979339546","No"
"AM20","BLK 309B ANG MO KIO ST 31","29421.1502","38526.8611","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","38526.8611 29421.1502","103.84608858611757 1.3646977329371186","No"
"AM22","BLK 316B ANG MO KIO STREET 31","29595.2539","38514.7606","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","38514.7606 29595.2539","103.84765302635225 1.3645882914751264","No"
"AM32","BLK 255A ANG MO KIO ST 21","28117.7689","39172.0389","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","39172.0389 28117.7689","103.8343768155432 1.3705325244610715","No"
"AM43","BLK 455 ANG MO KIO ST 44","30669.2379","38959.5487","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","38959.5487 30669.2379","103.85730354666741 1.3686107186719945","No"
"AM46","BLK 588 ANG MO KIO STREET 52","30234.4145","39354.0323","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","5","2.15","N","39354.0323 30234.4145","103.85339638441604 1.3721783233234013","No"
"AM51","BLK 700 ANG MO KIO AVE 6","29489.0250","39103.7605","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","39103.7605 29489.0250","103.84669851649676 1.3699150017188533","No"
"AM64","BLK 590 ANG MO KIO ST 51","30201.2360","39274.2740","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","39274.2740 30201.2360","103.85309824605717 1.3714570202946914","No"
"AM79","BLK 596 ANG MO KIO STREEET 52","30004.2224","39370.6063","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","39370.6063 30004.2224","103.85132794564834 1.3723282292064236","No"
